"","Dimension","L","Stepsize","ESS","ESS.L","AR"
"173",50,13,0.192307692307692,4474.81947113262,344.216882394817,0.9415
"174",50,14,0.178571428571429,4406.16961478583,314.726401056131,0.947
"175",50,15,0.166666666666667,4528.6249711718,301.908331411454,0.9542
"176",50,16,0.15625,4252.17769706453,265.761106066533,0.9596
"177",50,17,0.147058823529412,4778.38470446191,281.081453203642,0.964
"178",50,18,0.138888888888889,4475.1540680829,248.61967044905,0.9684
"179",50,19,0.131578947368421,4483.1156163991,235.953453494689,0.9741
"180",50,20,0.125,4752.4744142975,237.623720714875,0.975
"181",100,1,2.5,0,0,0
"182",100,2,1.25,0,0,0
"183",100,3,0.833333333333333,1.1893416648045,0.396447221601502,5e-04
"184",100,4,0.625,118.722836135738,29.6807090339346,0.0728
"185",100,5,0.5,745.996003818307,149.199200763661,0.3233
"186",100,6,0.416666666666667,1497.94661543331,249.657769238885,0.5536
"187",100,7,0.357142857142857,2391.6427745142,341.663253502028,0.6763
